log,created_at,exit_at,hold_s,pnl_pct,pnl_sol,reason
bot-sniper-3-rug_20260202_064127.log,2026-02-02 06:42:06,2026-02-02 06:42:36,30,0.00,0.00000000,stop_loss
bot-sniper-3-rug_20260202_081026.log,2026-02-02 08:11:04,2026-02-02 08:17:15,371,0.00,0.00000000,max_hold_time
bot-sniper-3-rug_20260202_090111.log,2026-02-02 09:01:55,2026-02-02 09:05:06,191,0.00,0.00000000,stop_loss
bot-sniper-3-rug_20260202_092200.log,2026-02-02 09:22:35,2026-02-02 09:28:52,377,0.00,0.00000000,max_hold_time
bot-sniper-3-rug_20260202_094254.log,2026-02-02 09:43:19,2026-02-02 09:43:24,5,0.00,0.00000000,stop_loss
bot-sniper-3-rug_20260202_095131.log,2026-02-02 09:52:01,2026-02-02 09:52:05,4,0.00,0.00000000,stop_loss
bot-sniper-3-rug_20260202_095324.log,2026-02-02 09:54:00,2026-02-02 09:54:51,51,0.00,0.00000000,stop_loss
bot-sniper-3-rug_20260202_115003.log,2026-02-02 11:51:01,2026-02-02 11:51:06,5,0.00,0.00000000,stop_loss
bot-sniper-3-rug_20260202_124223.log,2026-02-02 12:42:51,2026-02-02 12:43:10,19,0.00,0.00000000,stop_loss
bot-sniper-3-rug_20260202_131009.log,2026-02-02 13:10:33,2026-02-02 13:10:55,22,-15.65,-0.00000400,stop_loss
bot-sniper-3-rug_20260203_073900.log,2026-02-03 07:39:45,2026-02-03 07:40:11,26,6.10,0.00000400,max_hold_time
bot-sniper-3-rug_20260203_080908.log,2026-02-03 08:09:45,2026-02-03 08:10:14,29,0.01,0.00000000,max_hold_time
bot-sniper-3-rug_20260203_082545.log,2026-02-03 08:26:26,2026-02-03 08:38:29,723,-8.24,-0.00022900,max_hold_time
bot-sniper-3-rug_20260203_085616.log,2026-02-03 08:56:47,2026-02-03 09:08:49,722,0.01,0.00000000,max_hold_time
bot-sniper-3-rug_20260203_092448.log,2026-02-03 09:25:11,2026-02-03 09:25:58,47,-13.12,-0.00021600,stop_loss
bot-sniper-3-rug_20260203_105939.log,2026-02-03 11:00:04,2026-02-03 11:00:27,23,-67.14,-0.00211900,stop_loss
bot-sniper-3-rug_20260203_111726.log,2026-02-03 11:17:51,2026-02-03 11:17:59,8,-44.52,-0.00181500,stop_loss
bot-sniper-3-rug_20260203_112601.log,2026-02-03 11:26:28,2026-02-03 11:26:36,8,-69.70,-0.00233500,stop_loss
bot-sniper-3-rug_20260203_114134.log,2026-02-03 11:42:04,2026-02-03 11:54:19,735,0.01,0.00000000,max_hold_time
bot-sniper-3-rug_20260203_120220.log,2026-02-03 12:02:52,2026-02-03 12:02:59,7,-30.96,-0.00134700,stop_loss
bot-sniper-3-rug_20260203_120926.log,2026-02-03 12:09:51,2026-02-03 12:10:42,51,-53.03,-0.00159100,stop_loss
