section,metric,value
summary,trades,21
summary,wins,4
summary,losses,8
summary,flat,9
summary,avg_hold_s,164.5
summary,median_hold_s,29.0
summary,avg_win_pct,1.53
summary,median_win_pct,0.01
summary,avg_win_sol,0.00000100
summary,median_win_sol,0.00000000
summary,avg_loss_pct,-37.80
summary,median_loss_pct,-37.74
summary,avg_loss_sol,-0.00120700
summary,median_loss_sol,-0.00146900
time_of_day,06:00_trades,1
time_of_day,06:00_avg_pnl_pct,0.00
time_of_day,06:00_avg_hold_s,30.0
time_of_day,07:00_trades,1
time_of_day,07:00_avg_pnl_pct,6.10
time_of_day,07:00_avg_hold_s,26.0
time_of_day,08:00_trades,4
time_of_day,08:00_avg_pnl_pct,-2.06
time_of_day,08:00_avg_hold_s,461.2
time_of_day,09:00_trades,6
time_of_day,09:00_avg_pnl_pct,-2.19
time_of_day,09:00_avg_hold_s,112.5
time_of_day,11:00_trades,5
time_of_day,11:00_avg_pnl_pct,-36.27
time_of_day,11:00_avg_hold_s,155.8
time_of_day,12:00_trades,3
time_of_day,12:00_avg_pnl_pct,-28.00
time_of_day,12:00_avg_hold_s,25.7
time_of_day,13:00_trades,1
time_of_day,13:00_avg_pnl_pct,-15.65
time_of_day,13:00_avg_hold_s,22.0
